"primary_keyword","position","location","salary_min","experience_years","english_level","employment","pokes"
QA,Senior QA Engineer,Киев,2300,5,intermediate,fulltime remote freelance relocate,1
QA,Senior QA Engineer (Manual) / Junior QA Automation,Днепр,2000,6,upper,fulltime remote freelance move relocate,27
QA,Senior QA Engineer,Киев,2200,10,pre,fulltime,1
QA,Senior QA Engineer,Kyiv,2800,5,upper,fulltime remote freelance,20
QA,Senior QA Engineer,Relocation,4000,7,upper,freelance relocate,39
QA,Senior QA Engineer,Одесса,2000,6,intermediate,fulltime,16
QA,Senior QA Engineer,Киев,2500,5,fluent,fulltime remote relocate,19
QA,Senior QA Engineer / Scrum Master,Киев,1700,3,intermediate,fulltime remote,1
QA,Senior QA Engineer, QA Lead,Киев,3000,6,intermediate,fulltime,1
QA,Senior QA Engineer,Харьков,3000,7,upper,fulltime,9
QA,Senior QA Engineer,Dusseldorf; Киев, Харьков, Львов,2000,5,fluent,remote freelance,1
QA,Senior QA Engineer,Киев,1000,6,upper,freelance,5
QA,Senior QA Engineer,Any,2500,4,upper,fulltime remote freelance move relocate,4
QA,Senior QA Engineer,Киев,2600,8,upper,fulltime remote,4
QA,Senior QA,Киев,2100,6,intermediate,fulltime,1
QA,Senior QA Engineer,Киев,5000,8,upper,fulltime remote relocate,1
QA,Senior QA Engineer,Львів,2500,5,fluent,fulltime remote,3
QA,Senior QA Engineer,Киев,2000,4,fluent,fulltime,1
QA,Senior QA Engineer,Киев,3000,5,upper,fulltime relocate,13
QA,Senior test engineer,Киев,2500,4,intermediate,fulltime,2
QA,Senior QA Engineer,Киев,2400,6,intermediate,fulltime remote freelance,1
QA,Senior QA, QC, Test Lead, Quality Assurance Analyst.,Киев,3000,8,upper,fulltime remote freelance relocate,26
QA,Senior QA Engineer,Львов,2000,5,fluent,fulltime remote,1
QA,Middle/Senior QA,Киев,2500,2.500000,intermediate,fulltime relocate,1
QA,QA Team Lead/ Senior QA,Киев,3500,10,fluent,fulltime,15
QA,Senior QA Engineer,Киев,2500,3,upper,fulltime relocate,40
QA,Team Leader / Senior QA Engineer / Test Manager,Киев, Львов,3300,6,fluent,fulltime remote relocate,1
QA,Senior QA Engineer,Kiev,3000,6,fluent,fulltime,19
QA,QA Lead, Senior QA Engineer,Киев,2300,15,pre,fulltime remote relocate,4
QA,Senior QA Engineer,Харьков,2800,4,fluent,fulltime remote freelance move,11
QA,Senior Software Test Engineer / QA Lead,Киев,2600,4,fluent,fulltime relocate,1
QA,Senior QA Engineer,Lviv,3000,8,upper,fulltime,6
QA,Senior QA Engineer / QA lead,Киев,3000,3,upper,fulltime relocate,12
QA,Senior QA Engineer,Canada, USA, London, Kyiv,1950,4,fluent,remote freelance,1
QA,Senior QA Engineer,Киев,3000,4,intermediate,fulltime remote,8
QA,Senior/Lead QA Engineer,Одесса,3000,4,intermediate,fulltime remote freelance,1
